date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2017-08-09,always train (rows 1-551),0.612173,-0.435295,-0.419740,-0.439642,-0.791042,-0.029207,0.923882,0.312642,0.725772,-0.160084,-0.036361,2474.020020
2017-08-10,always train (rows 1-551),-3.185202,-1.754111,-1.696835,-1.462644,-2.554959,-2.208215,-0.954733,-0.591644,-0.105074,-1.432701,-1.447444,2438.209961
2017-08-11,always train (rows 1-551),1.390709,0.703778,0.788112,1.526368,1.156839,0.406226,-0.578365,-0.962353,0.007522,-0.835225,0.127557,2441.320068
2017-08-14,always train (rows 1-551),1.504971,0.950442,0.905519,1.503432,1.581626,1.588549,1.112123,0.025544,0.285490,1.170396,1.004375,2465.840088
2017-08-15,always train (rows 1-551),1.094740,-0.090511,-0.048764,0.027324,-0.056951,0.146400,0.101533,-0.074901,-0.242888,0.259497,-0.049881,2464.610107
2017-08-16,always train (rows 1-551),-0.402198,0.659868,0.513959,0.587301,-0.464010,-0.584791,0.602914,0.592304,-0.730386,-0.690178,0.142010,2468.110107
2017-08-17,always train (rows 1-551),-1.919895,-1.759043,-1.723892,-1.697210,-1.800284,-1.817652,-0.772930,-0.842259,-1.561880,-1.563673,-1.543695,2430.010010
2017-08-18,always train (rows 1-551),-0.228038,-0.159543,-0.034037,0.124318,-0.218619,0.299565,0.225781,-0.308141,0.498294,0.099255,-0.183537,2425.550049
2017-08-21,always train (rows 1-551),-0.184109,-0.573329,-0.440338,-0.469075,-0.540442,0.221003,0.439287,0.618238,-0.339265,-0.121202,0.116265,2428.370117
2017-08-22,always train (rows 1-551),1.634751,2.120823,1.988605,1.399855,1.427687,1.108615,1.183134,0.936716,0.471333,1.026136,0.994078,2452.510010
2017-08-23,always train (rows 1-551),0.125160,0.231821,0.249817,-0.601384,-0.920467,-0.548220,-0.260461,-1.410567,-0.169401,0.120158,-0.345359,2444.040039
2017-08-24,always train (rows 1-551),-0.443792,-0.603662,-0.617038,-0.041280,-0.579332,-0.574955,-0.861208,0.067768,-0.365483,-0.163658,-0.207446,2438.969971
2017-08-25,always train (rows 1-551),0.370445,-0.682039,-0.585064,0.178877,-0.754897,-0.846539,0.655727,-0.280166,0.510946,0.404316,0.167287,2443.050049
